Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"776 Boylston St,Boston,MA",3Dec,4.3,Mandarin Oriental Boston,"Rs43,885","Rs40,677",5 stars
"70 Rowes Wharf,Boston,MA",3Dec,4.8,Boston Harbor Hotel,"Rs23,083","Rs20,711",5 stars
"215 Charles St,Boston,MA",3Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs11,378",5 stars
"200 Boylston St,Boston,MA",3Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs40,634",5 stars
"510 Atlantic Ave,Boston,MA",3Dec,4.6,InterContinental Boston,"Rs14,043","Rs14,043",5 stars
"15 Beacon St,Boston,MA",3Dec,4.6,Fifteen Beacon,"Rs48,436","Rs28,064",5 stars
"10 Avery St,Boston,MA",3Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs32,183",5 stars
"3 Battery Wharf,Boston,MA",3Dec,4.4,"Battery Wharf Hotel, Boston Waterfront","Rs15,776","Rs13,348",4.5 stars
"138 Saint James Ave,Boston,MA",3Dec,4.6,"Fairmont Copley Plaza, Boston","Rs14,888","Rs11,911",4.5 stars
"15 Arlington St,Boston,MA",3Dec,4.5,Taj Boston,"Rs14,238","Rs12,814",4.5 stars
"61 Exeter Street,Boston,MA",3Dec,4.7,The Lenox Hotel Boston,"Rs41,935","Rs13,978",4.5 stars
"250 Franklin St,Boston,MA",3Dec,4.7,"The Langham, Boston","Rs16,839","Rs15,155",4.5 stars
"500 Commonwealth Ave,Boston,MA",3Dec,4.6,Hotel Commonwealth,"Rs12,938","Rs10,997",4.5 stars
"One Bennett Street,Boston,MA",3Dec,4.5,The Charles Hotel,"Rs28,404","Rs25,484",4 stars
"89 Broad St,Boston,MA",3Dec,4.3,Hilton Boston Downtown/Faneuil Hall,"Rs8,477","Rs8,477",4 stars
"26 North St,Boston,MA",3Dec,4.5,The Bostonian Boston,"Rs22,177","Rs12,655",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",3Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs12,953",4 stars
"606 Congress St,Boston,MA",3Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs24,641","Rs10,402",4 stars
"1 Court Street,Boston,MA",3Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs10,474",4 stars
"70 Sleeper Street,Boston,MA",3Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs12,419",4 stars
"100 Stuart Street,Boston,MA",3Dec,4.3,W Boston,"Rs10,997","Rs10,996",4 stars
"1 Seaport Lane,Boston,MA",3Dec,4.7,Seaport Boston Hotel,"Rs20,415","Rs13,392",4 stars
"39 Dalton St,Boston,MA",3Dec,4.2,Sheraton Boston Hotel,"Rs9,021","Rs9,020",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",3Dec,4.1,Boston Park Plaza,"Rs7,737","Rs6,963",4 stars
"32 Garrison Street,Boston,MA",3Dec,3.9,Global Luxury Suites at Back Bay,"Rs13,221","Rs11,862",4 stars
"4 Longfellow Place,Boston,MA",3Dec,4.7,Staniford St. Apartments By Stay Alfred,"Rs9,622","Rs9,622",4 stars
"161 Devonshire St,Boston,MA",3Dec,4.1,Club Quarters Hotel in Boston,"Rs7,548","Rs7,548",4 stars
"40 Dalton St,Boston,MA",3Dec,4.0,Hilton Boston Back Bay,"Rs9,304","Rs9,304",4 stars
"One Avenue De Lafayette,Boston,MA",3Dec,4.4,Hyatt Regency Boston,"Rs37,644","Rs10,988",4 stars
"120 Huntington Avenue,Boston,MA",3Dec,4.4,The Colonnade Hotel Back Bay,"Rs12,288","Rs9,216",4 stars
"180 Brookline Avenue,Boston,MA",3Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs9,426","Rs8,457",4 stars
"One Hotel Drive,Boston,MA",3Dec,4.1,Hilton Boston Logan Airport,"Rs8,868","Rs8,868",4 stars
"370 Commonwealth Ave,Boston,MA",3Dec,4.6,The Eliot Hotel,"Rs22,430","Rs13,978",4 stars
"9 Miner Street,Boston,MA",3Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
