Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"1000 Marriot Dr,Boston,MA",01-Dec,4.2,Boston Marriott Quincy,"Rs13,783","Rs7,152",3.5 stars
"320 Washington Street,Boston,MA",01-Dec,3.7,Crowne Plaza Boston - Newton,"Rs10,988","Rs7,087",3.5 stars
"2345 Commonwealth Avenue,Boston,MA",01-Dec,4,Boston Marriott Newton,"Rs7,542","Rs6,410",3.5 stars
"1834 Revere Beach Pkwy,Boston,MA",01-Dec,4.5,"enVision Hotel Boston - Everett, an Ascend Collection Member","Rs8,234","Rs8,234",3.5 stars
"44 Middlesex Tpke,Boston,MA",01-Dec,4.4,DoubleTree by Hilton Boston - Bedford Glen,"Rs14,238","Rs6,024",3.5 stars
"350 Third Street,Boston,MA",01-Dec,3.5,Apartments in Watermark Kendall by LYX,"Rs16,189","Rs14,442",3.5 stars
"275 Tremont St,Boston,MA",01-Dec,4,Courtyard by Marriott Boston Downtown,"Rs27,892","Rs8,258",3.5 stars
"88 Exeter St,Boston,MA",01-Dec,4.2,Courtyard by Marriott Boston Copley Square,"Rs28,542","Rs12,939",3 stars
"315 Mishawum Rd,Boston,MA",01-Dec,4.1,Holiday Inn Express Boston North-Woburn,"Rs9,102","Rs5,721",3 stars
"48 Monument Square,Boston,MA",01-Dec,4.2,Concord's Colonial Inn,"Rs16,839","Rs9,397",3 stars
"295 Hale Street,Boston,MA",01-Dec,4,The Wylie Inn and Conference Center at Endicott College,"Rs10,724","Rs8,526",3 stars
"655 Boylston St,Boston,MA",01-Dec,4.2,Charlesmark Hotel,"Rs13,473","Rs10,027",3 stars
"85 American Legion Hwy,Boston,MA",01-Dec,4.3,Comfort Inn & Suites Logan International Airport,"Rs19,439","Rs6,963",3 stars
"11 Old Concord Rd,Boston,MA",01-Dec,4.5,Sonesta ES Suites Burlington Boston,"Rs13,588","Rs7,737",3 stars
"300 River Ridge Dr,Boston,MA",01-Dec,4.2,Courtyard by Marriott Boston Norwood/Canton,"Rs10,662","Rs7,737",3 stars
"200 Technology Center Dr,Boston,MA",01-Dec,4.3,Courtyard by Marriott Boston Stoughton,"Rs9,038","Rs7,737",3 stars
"1200 Beacon St,Boston,MA",01-Dec,3.3,Holiday Inn Boston-Brookline,"Rs26,591","Rs11,703",3 stars
"239 W Newton St,Boston,MA",01-Dec,3.7,Copley House,"Rs11,053","Rs8,127",3 stars
"280 Friend Street,Boston,MA",01-Dec,3.9,Holiday Inn Express Hotel & Suites Boston Garden,"Rs23,991","Rs10,792",3 stars
"125 Brookline Ave,Boston,MA",01-Dec,4.6,Residence Inn by Marriott Boston Back Bay/Fenway,"Rs16,319","Rs13,056",3 stars
"270 Concord Rd,Boston,MA",01-Dec,4.2,Courtyard by Marriott Boston Billerica/Bedford,"Rs14,239","Rs6,437",3 stars
"185 State St,Boston,MA",01-Dec,4.2,Harborside Inn Of Boston,"Rs10,084","Rs7,505",3 stars
"287 Crescent Street,Boston,MA",01-Dec,4.5,Crescent Suites Hotel,"Rs13,328","Rs11,919",3 stars
"140 Clarendon St,Boston,MA",01-Dec,3.9,Hotel 140,"Rs23,991","Rs10,027",3 stars
"55 Ariadne Rd,Boston,MA",01-Dec,3.7,Holiday Inn Boston - Dedham Hotel & Conference Center,"Rs7,737","Rs5,331",3 stars
"1374 N Main Street,Boston,MA",01-Dec,3.7,Comfort Inn Randolph-Boston,"Rs7,087","Rs6,502",3 stars
"1 Newbury St,Boston,MA",01-Dec,3.7,Holiday Inn Hotel & Suites Boston - Peabody,"Rs7,087","Rs5,786",3 stars
"30 Eastern Avenue,Boston,MA",01-Dec,4.6,TownePlace Suites Boston Logan Airport/Chelsea,"Rs11,963","Rs7,412",3 stars
"30 Washington Street,Boston,MA",01-Dec,4.2,Holiday Inn Boston Bunker Hill Area,"Rs7,087","Rs6,024",3 stars
"2 Van De Graaff Dr,Boston,MA",01-Dec,4.6,HYATT house Boston/Burlington,"Rs16,615","Rs7,350",3 stars
"43 Newbury St./Route 1 North,Boston,MA",01-Dec,4.5,SpringHill Suites by Marriott Boston Peabody,"Rs8,388","Rs6,567",3 stars
"64 University Avenue,Boston,MA",01-Dec,4.8,Courtyard by Marriott Boston Dedham/Westwood,"Rs7,152","Rs7,152",3 stars
"50 Amory Street (unit 2),Boston,MA",01-Dec,3.9,Chez Pat in Cambridge,"Rs10,406","Rs10,406",3 stars
"225 William F. McClellan Highway,Boston,MA",01-Dec,4,Courtyard by Marriott Boston Logan Airport,"Rs15,539","Rs7,672",3 stars
"400 District Avenue,Boston,MA",01-Dec,5,Residence Inn by Marriott Boston Burlington,"Rs7,737","Rs7,737",3 stars
"225 Norwood Park S,Boston,MA",01-Dec,4.5,Holiday Inn Express & Suites Norwood-Boston Area,"Rs8,777","Rs7,022",3 stars
"5 Wheeler Rd,Boston,MA",01-Dec,4.3,Hilton Garden Inn Boston/Burlington,"Rs13,588","Rs6,226",3 stars
"387 Winter St,Boston,MA",01-Dec,4.4,Courtyard by Marriott Boston Waltham,"Rs17,490","Rs7,152",3 stars
"145 Beech St,Boston,MA",01-Dec,4.6,Homewood Suites by Hilton Boston Logan Airport Chelsea,"Rs8,234","Rs8,234",3 stars
"40 Webster St,Boston,MA",01-Dec,4,Courtyard by Marriott Boston Brookline,"Rs11,573","Rs11,572",3 stars
"215 Monsignor O'Brien Highway,Boston,MA",01-Dec,4.5,Fairfield Inn & Suites Boston Cambridge,"Rs14,563","Rs7,087",3 stars
"116 Riverside Ave,Boston,MA",01-Dec,4.1,Hyatt Place Boston/Medford,"Rs16,189","Rs9,203",3 stars
"201 Everett Ave,Boston,MA",01-Dec,3.6,Doubletree By Hilton Boston Logan Airport Chelsea,"Rs12,288","Rs9,037",3 stars
"700 Unicorn Park Dr,Boston,MA",01-Dec,4.4,Courtyard by Marriott Woburn/Boston North,"Rs6,307","Rs5,992",3 stars
"200 Maple St,Boston,MA",01-Dec,4.6,Residence Inn Boston Logan Airport/Chelsea,"Rs18,140","Rs7,737",3 stars
"100 Sargent Street,Boston,MA",01-Dec,4.1,Ch̢teau sur Mer Bed & Breakfast,"Rs7,477","Rs6,827",3 stars
"35 Middlesex Turnpike,Boston,MA",01-Dec,4.4,Homewood Suites by Hilton Boston/Billerica,"Rs10,445","Rs5,669",3 stars
"811 Massachusetts Ave,Boston,MA",01-Dec,4,Hampton Inn & Suites Boston Crosstown Center,"Rs6,236","Rs6,236",3 stars
"34-44 Charles River Ave,Boston,MA",01-Dec,4.4,Residence Inn by Marriott Boston Harbor on Tudor Wharf,"Rs18,204","Rs9,882",3 stars
"370 Congress St,Boston,MA",01-Dec,4.6,Residence Inn by Marriott Boston Downtown/Seaport,"Rs29,843","Rs12,288",3 stars
"391-395 D Street,Boston,MA",01-Dec,4.5,Element Boston Seaport by Westin,"Rs20,415","Rs9,687",3 stars
"401-403 D Street,Boston,MA",01-Dec,4.2,Aloft Boston Seaport,"Rs19,439","Rs9,037",3 stars
"148 Washington Street,Boston,MA",01-Dec,4.9,The Merchant,"Rs16,839","Rs16,839",3 stars
"727 Marrett Road - A,Boston,MA",01-Dec,4.2,Aloft Lexington,"Rs13,588","Rs7,087",3 stars
"6 Cambridge Ctr,Boston,MA",01-Dec,4.4,Residence Inn by Marriott Boston Cambridge,"Rs25,942","Rs7,737",3 stars
"215 Wood Rd,Boston,MA",01-Dec,4.3,Hampton Inn Boston/Braintree,"Rs10,988","Rs7,350",3 stars
"1650 Commonwealth Ave,Boston,MA",01-Dec,3.3,Hotel Boston,"Rs7,737","Rs5,416",3 stars
"259 Elm St,Boston,MA",01-Dec,4.2,Residence Inn Dedham,"Rs14,889","Rs7,412",3 stars
"407 Squire Rd,Boston,MA",01-Dec,3.8,Four Points by Sheraton Boston Logan Airport Revere,"Rs12,938","Rs9,362",3 stars
"24 Irving Street,Boston,MA",01-Dec,4,Irving House At Harvard,"Rs12,678","Rs12,678",3 stars
"434 Providence Hwy,Boston,MA",01-Dec,4.4,Hampton Inn Boston - Norwood,"Rs8,387","Rs6,024",3 stars
"51 Newbury St,Boston,MA",01-Dec,4.4,Residence Inn by Marriott Boston North Shore/Danvers,"Rs9,038","Rs7,087",3 stars
"1750 Beacon Street,Boston,MA",01-Dec,3.6,Beacon Inn 1750,"Rs10,302","Rs7,101",3 stars
"63 R Boston St,Boston,MA",01-Dec,4.2,Courtyard by Marriott Boston-South Boston,"Rs23,340","Rs7,152",3 stars
"727 Marrett Road - B,Boston,MA",01-Dec,4.4,Element Lexington,"Rs12,288","Rs7,477",3 stars
"100 Boardman St,Boston,MA",01-Dec,4.5,Hilton Garden Inn Boston Logan Airport,"Rs12,938","Rs9,037",3 stars
"80 B Street,Boston,MA",01-Dec,4.6,Residence Inn Boston Needham,"Rs11,638","Rs9,038",3 stars
"275 Norwood Park S,Boston,MA",01-Dec,4.4,Residence Inn by Marriott Boston Norwood,"Rs10,988","Rs7,737",3 stars
"1 Massachusetts Ave,Boston,MA",01-Dec,4.3,Homewood Suites by Hilton Boston/Cambridge-Arlington,"Rs15,539","Rs10,012",3 stars
"54 4th Ave,Boston,MA",01-Dec,4.3,HYATT house Boston/Waltham,"Rs14,570","Rs8,719",3 stars
"100 Morris Street,Boston,MA",01-Dec,3.9,Quality Inn,"Rs5,149","Rs5,149",3 stars
"180 Forbes Road,Boston,MA",01-Dec,4.8,Residence Inn by Marriott Boston Braintree,"Rs9,397","Rs9,397",3 stars
"6 Prentiss St.,Boston,MA",01-Dec,4.5,Mary Prentiss Inn,"Rs13,588","Rs11,919",3 stars
"230 Lee Burbank Hwy,Boston,MA",01-Dec,4.1,Hampton Inn Boston - Logan Airport,"Rs13,588","Rs7,682",3 stars
"45 Hull Shore Drive,Boston,MA",01-Dec,4.3,Nantasket Beach Resort,"Rs7,252","Rs7,252",3 stars
"570 Arsenal Street,Boston,MA",01-Dec,4.8,Residence Inn by Marriott Boston Watertown,"Rs16,840","Rs7,412",3 stars
"450 Totten Pond Rd,Boston,MA",01-Dec,4.2,Hilton Garden Inn Boston/Waltham,"Rs6,778","Rs6,100",3 stars
"2218 Massachussets Avenue,Boston,MA",01-Dec,4.2,A Cambridge House Inn at Porter,"Rs10,337","Rs8,766",3 stars
"23 Cummings St,Boston,MA",01-Dec,3.7,La Quinta Inn & Suites Boston-Somerville,"Rs8,128","Rs7,315",3 stars
"240 Mishawum Rd,Boston,MA",01-Dec,4.3,Courtyard by Marriott Boston Woburn/Burlington,"Rs16,840","Rs5,461",3 stars
"929 Hingham St,Boston,MA",01-Dec,3.9,DoubleTree by Hilton Boston-Rockland,"Rs12,288","Rs8,787",3 stars
"130 Grovers Ave.,Boston,MA",01-Dec,4.3,The Winthrop Arms Hotel,"Rs8,972","Rs7,402",3 stars
"275 Independence Way,Boston,MA",01-Dec,4.2,Courtyard Boston Danvers,"Rs8,388","Rs7,737",3 stars
"1924 Massachusetts Avenue,Boston,MA",01-Dec,4.4,Porter Square Hotel,"Rs10,131","Rs10,130",3 stars
"380 Winter Street,Boston,MA",01-Dec,4.1,Best Western TLC Hotel,"Rs11,638","Rs5,786",3 stars
"312 Shirley Street,Boston,MA",01-Dec,4.4,Winthrop Beach Inn and Suites,"Rs13,588","Rs6,874",3 stars
"900 William T Morrissey Blvd,Boston,MA",01-Dec,3.6,Comfort Inn Boston,"Rs15,214","Rs5,793",3 stars
"240 Mount Vernon Street,Boston,MA",01-Dec,4.1,DoubleTree Club by Hilton Boston Bayside,"Rs16,579","Rs7,087",3 stars
"300 Presidential Way,Boston,MA",01-Dec,4.5,Residence Inn by Marriott Boston Woburn,"Rs11,897","Rs6,697",3 stars
"350 Main Street,Boston,MA",01-Dec,4.7,The Kendall Hotel,"Rs24,056","Rs10,721",3 stars
"111 Boylston Street,Boston,MA",01-Dec,4.5,Homewood Suites by Hilton Boston Brookline-Longwood Medical,"Rs23,340","Rs10,337",3 stars
"57 Newbury St,Boston,MA",01-Dec,4.3,Homewood Suites by Hilton Boston-Peabody,"Rs8,387","Rs6,732",3 stars
"52 Salisbury St.,Boston,MA",01-Dec,4.6,The Beacon Luxury Waterfront Inn,"Rs9,687","Rs7,087",3 stars
"87 Commercial Wharf,Boston,MA",01-Dec,4.9,Boston Yacht Haven Inn & Marina,"Rs30,882","Rs14,628",3 stars
"50 Royall St,Boston,MA",01-Dec,4.7,"Homewood Suites by Hilton Boston/Canton, MA","Rs10,988","Rs9,687",3 stars
"25 Charles Street,Boston,MA",01-Dec,4.3,Beacon Hill Hotel & Bistro,"Rs14,888","Rs14,888",3 stars
"52 4th Ave,Boston,MA",01-Dec,2.7,Extended Stay America - Boston - Waltham - 52 4th Ave,"Rs6,642","Rs5,959",2.5 stars
"831 Main St,Boston,MA",01-Dec,3.5,Extended Stay America - Boston - Woburn,"Rs6,642","Rs5,959",2.5 stars
"395 Old Post Rd,Boston,MA",01-Dec,3.8,Best Western Plus The Inn at Sharon/Foxboro,"Rs5,471","Rs5,471",2.5 stars
"115 Nantasket Ave,Boston,MA",01-Dec,4.5,Nantasket Hotel at the Beach,"Rs7,087","Rs6,378",2.5 stars
"44 Commonwealth Avenue,Boston,MA",01-Dec,4.5,The College Club of Boston,"Rs13,812","Rs11,686",2.5 stars
"25 Middlesex Turnpike,Boston,MA",01-Dec,4.5,Hampton Inn Boston Bedford Burlington,"Rs11,638","Rs8,062",2.5 stars
"59 Newbury St,Boston,MA",01-Dec,4.1,Hampton Inn Boston/Peabody,"Rs7,737","Rs6,378",2.5 stars
"50 Dayton St,Boston,MA",01-Dec,4.4,Best Western Plus North Shore Hotel,"Rs6,085","Rs6,085",2.5 stars
"449 Page Street,Boston,MA",01-Dec,4.6,Hampton Inn & Suites Boston/Stoughton,"Rs6,963","Rs6,963",2.5 stars
"19 Commerce Way,Boston,MA",01-Dec,3.5,Red Roof PLUS+ Boston - Woburn,"Rs6,436","Rs5,793",2.5 stars
"32 4th Ave,Boston,MA",01-Dec,2.8,Extended Stay America - Boston - Waltham - 32 4th Ave,"Rs7,476","Rs6,728",2.5 stars
"1087 Beacon St,Boston,MA",01-Dec,3.5,Beacon Inn 1087,"Rs9,720","Rs9,720",2.5 stars
"235 Elm Street,Boston,MA",01-Dec,3.5,Fairfield Inn by Marriott Boston Dedham,"Rs7,998","Rs6,307",2.5 stars
"340 Great Road,Boston,MA",01-Dec,3.2,Bedford Plaza Hotel - Boston,"Rs6,263","Rs5,619",2.5 stars
"190 Wood Road,Boston,MA",01-Dec,4.1,Beantown Inn,"Rs9,037","Rs8,135",2.5 stars
"26 Chandler St,Boston,MA",01-Dec,3.8,Chandler Inn Hotel,"Rs20,090","Rs9,397",2.5 stars
"285 Mishawum Rd,Boston,MA",01-Dec,3.9,Fairfield Inn by Marriott Boston Woburn-Burlington,"Rs8,388","Rs4,031",2.5 stars
"800 Morrissey Blvd,Boston,MA",01-Dec,3.2,Ramada Inn Boston,"Rs12,938","Rs6,436",2.5 stars
"385 Winter St,Boston,MA",01-Dec,4.3,Holiday Inn Express Boston - Waltham,"Rs12,938","Rs7,087",2.5 stars
"850 Hingham St,Boston,MA",01-Dec,3.9,Comfort Inn Rockland - Boston,"Rs9,687","Rs6,300",2.5 stars
"850 Hingham St,Boston,MA",01-Dec,3.9,Comfort Inn Rockland - Boston,"Rs9,687","Rs6,300",2.5 stars
"22 Edgerly Road,Boston,MA",01-Dec,4,Oasis Guest House,"Rs10,613","Rs6,217",2.5 stars
"440 Bedford St,Boston,MA",01-Dec,3.2,Quality Inn & Suites Lexington,"Rs5,208","Rs5,208",2.5 stars
"909 Hingham St,Boston,MA",01-Dec,3.9,Best Western Rockland,"Rs6,631","Rs6,631",2.5 stars
"250 Monsignor O'Brien Hwy,Boston,MA",01-Dec,4.2,Holiday Inn Express Hotel and Suites Cambridge,"Rs16,644","Rs8,192",2.5 stars
"920 Broadway,Boston,MA",01-Dec,3.8,Red Roof PLUS+ Boston - Logan,"Rs6,176","Rs5,559",2.5 stars
"69 Boston St,Boston,MA",01-Dec,4.1,Holiday Inn Express Boston,"Rs22,690","Rs7,542",2.5 stars
"319 Speen St,Boston,MA",01-Dec,4.2,Hampton Inn Boston Natick,"Rs11,638","Rs6,963",2.5 stars
"1800 Soldiers Field Road,Boston,MA",01-Dec,3.2,Charles River Motel,"Rs6,263","Rs5,619",2.5 stars
"130 Middlesex Tpke,Boston,MA",01-Dec,4,Candlewood Suites Boston-Burlington,"Rs6,176","Rs5,461",2.5 stars
"29 Hancock St,Boston,MA",01-Dec,3.6,Best Western Adams Inn Quincy-Boston,"Rs12,938","Rs6,236",2.5 stars
"14 Hill St,Boston,MA",01-Dec,4.1,Comfort Inn Woburn,"Rs5,471","Rs5,471",2.5 stars
