Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"70 Rowes Wharf,Boston,MA",6Dec,4.8,Boston Harbor Hotel,"Rs30,864","Rs27,692",5 stars
"215 Charles St,Boston,MA",6Dec,4.5,"The Liberty, a Starwood Luxury Collection Hotel, Boston","Rs36,343","Rs23,080",5 stars
"200 Boylston St,Boston,MA",6Dec,4.4,Four Seasons Hotel Boston,"Rs48,436","Rs48,436",5 stars
"510 Atlantic Ave,Boston,MA",6Dec,4.6,InterContinental Boston,"Rs25,940","Rs25,940",5 stars
"15 Beacon St,Boston,MA",6Dec,4.6,Fifteen Beacon,"Rs48,436","Rs37,523",5 stars
"10 Avery St,Boston,MA",6Dec,4.2,"The Ritz-Carlton, Boston","Rs64,691","Rs46,161",5 stars
"3 Battery Wharf,Boston,MA",6Dec,4.4,"Battery Wharf Hotel, Boston Waterfront","Rs25,279","Rs21,388",4.5 stars
"138 Saint James Ave,Boston,MA",6Dec,4.6,"Fairmont Copley Plaza, Boston","Rs25,291","Rs20,233",4.5 stars
"15 Arlington St,Boston,MA",6Dec,4.5,Taj Boston,"Rs19,439","Rs17,496",4.5 stars
"61 Exeter Street,Boston,MA",6Dec,4.7,The Lenox Hotel Boston,"Rs41,935","Rs28,282",4.5 stars
"250 Franklin St,Boston,MA",6Dec,4.7,"The Langham, Boston","Rs25,941","Rs23,347",4.5 stars
"500 Commonwealth Ave,Boston,MA",6Dec,4.6,Hotel Commonwealth,"Rs18,139","Rs15,418",4.5 stars
"One Bennett Street,Boston,MA",6Dec,4.5,The Charles Hotel,"Rs25,241","Rs22,646",4 stars
"89 Broad St,Boston,MA",6Dec,4.3,Hilton Boston Downtown/Faneuil Hall,"Rs15,390","Rs15,390",4 stars
"26 North St,Boston,MA",6Dec,4.5,The Bostonian Boston,"Rs22,177","Rs20,392",4 stars
"40 Edwin H. Land Boulevard,Boston,MA",6Dec,4.5,Royal Sonesta Boston,"Rs25,397","Rs20,740",4 stars
"606 Congress St,Boston,MA",6Dec,4.3,Renaissance Boston Waterfront Hotel,"Rs28,542","Rs28,542",4 stars
"1 Court Street,Boston,MA",6Dec,4.3,"The Ames Boston Hotel, Curio Collection by Hilton","Rs42,656","Rs20,421",4 stars
"70 Sleeper Street,Boston,MA",6Dec,4.4,"The Envoy Hotel, Autograph Collection","Rs30,493","Rs26,852",4 stars
"100 Stuart Street,Boston,MA",6Dec,4.3,W Boston,"Rs34,393","Rs34,393",4 stars
"39 Dalton St,Boston,MA",6Dec,4.2,Sheraton Boston Hotel,"Rs30,476","Rs30,473",4 stars
"50 Park Plaza at Arlington Street,Boston,MA",6Dec,4.1,Boston Park Plaza,"Rs9,687","Rs8,719",4 stars
"32 Garrison Street,Boston,MA",6Dec,3.9,Global Luxury Suites at Back Bay,"Rs15,119","Rs13,565",4 stars
"4 Longfellow Place,Boston,MA",6Dec,4.7,Staniford St. Apartments By Stay Alfred,"Rs8,907","Rs8,907",4 stars
